pid,ppid,parent_name,name,cpu_percent,memory_percent
10464,119724,msedge.exe,msedge.exe,0.0,0.7529
15816,119724,msedge.exe,msedge.exe,0.0,0.0033
17348,119724,msedge.exe,msedge.exe,0.0,0.01
22768,119724,msedge.exe,msedge.exe,0.0,0.0004
28092,119724,msedge.exe,msedge.exe,0.0,0.0092
56804,119724,msedge.exe,msedge.exe,0.0,0.0026
75588,119724,msedge.exe,msedge.exe,0.0,0.0
78492,119724,msedge.exe,msedge.exe,0.0,0.0008
98828,119724,msedge.exe,msedge.exe,0.0,0.0411
119724,17200,explorer.exe,msedge.exe,0.0,0.2316
130936,119724,msedge.exe,msedge.exe,0.0,0.0017
131572,119724,msedge.exe,msedge.exe,0.0,0.0681
172276,119724,msedge.exe,msedge.exe,0.0,0.0003
206060,119724,msedge.exe,msedge.exe,0.0,0.001
216896,119724,msedge.exe,msedge.exe,0.0,0.0052
220592,119724,msedge.exe,msedge.exe,0.0,0.0056
222924,119724,msedge.exe,msedge.exe,0.0,0.0166
225040,119724,msedge.exe,msedge.exe,0.0,0.0039
228448,119724,msedge.exe,msedge.exe,0.0,0.0026
249272,119724,msedge.exe,msedge.exe,0.0,0.0058
258776,119724,msedge.exe,msedge.exe,0.0,0.0057
264308,271208,steamwebhelper.exe,steamwebhelper.exe,0.0,0.0078
267132,119724,msedge.exe,msedge.exe,0.0,0.0063
267680,271208,steamwebhelper.exe,steamwebhelper.exe,0.0,0.0024
267752,271208,steamwebhelper.exe,steamwebhelper.exe,0.0,0.0
271208,271480,steam.exe,steamwebhelper.exe,0.0,0.0253
271480,263196,N/A,steam.exe,0.0,0.0117
271908,271208,steamwebhelper.exe,steamwebhelper.exe,0.0,0.0086
273340,271208,steamwebhelper.exe,steamwebhelper.exe,0.0,0.0118
273660,271208,steamwebhelper.exe,steamwebhelper.exe,0.0,0.0032
276892,119724,msedge.exe,msedge.exe,0.0,0.0064
276936,119724,msedge.exe,msedge.exe,0.0,0.0021
278416,271208,steamwebhelper.exe,steamwebhelper.exe,0.0,0.0021
386344,119724,msedge.exe,msedge.exe,0.0,0.0022
443112,119724,msedge.exe,msedge.exe,0.0,0.018
449824,119724,msedge.exe,msedge.exe,0.0,0.0093
465312,119724,msedge.exe,msedge.exe,0.0,0.0003
